,Image Index,Finding Labels
0,aug_images_f/img0.png,Cardiomegaly
1,aug_images_f/img1.png,Cardiomegaly
2,aug_images_f/img2.png,Cardiomegaly
3,aug_images_f/img3.png,Cardiomegaly
4,aug_images_f/img4.png,Cardiomegaly
5,aug_images_f/img5.png,Cardiomegaly
6,aug_images_f/img6.png,Cardiomegaly
7,aug_images_f/img7.png,Cardiomegaly
8,aug_images_f/img8.png,Cardiomegaly
9,aug_images_f/img9.png,Cardiomegaly
10,aug_images_f/img11.png,Cardiomegaly
11,aug_images_f/img12.png,Cardiomegaly
12,aug_images_f/img13.png,Cardiomegaly
13,aug_images_f/img14.png,Cardiomegaly
14,aug_images_f/img15.png,Cardiomegaly
15,aug_images_f/img16.png,Cardiomegaly
16,aug_images_f/img17.png,Cardiomegaly
17,aug_images_f/img18.png,Cardiomegaly
18,aug_images_f/img19.png,Cardiomegaly
19,aug_images_f/img20.png,Cardiomegaly
20,aug_images_f/img21.png,Cardiomegaly
21,aug_images_f/img23.png,Cardiomegaly
22,aug_images_f/img25.png,Cardiomegaly
23,aug_images_f/img27.png,Cardiomegaly
24,aug_images_f/img28.png,Cardiomegaly
25,aug_images_f/img30.png,Cardiomegaly
26,aug_images_f/img31.png,Cardiomegaly
27,aug_images_f/img32.png,Cardiomegaly
28,aug_images_f/img33.png,Cardiomegaly
29,aug_images_f/img34.png,Cardiomegaly
30,aug_images_f/img35.png,Cardiomegaly
31,aug_images_f/img36.png,Cardiomegaly
32,aug_images_f/img37.png,Cardiomegaly
33,aug_images_f/img38.png,Cardiomegaly
34,aug_images_f/img39.png,Cardiomegaly
35,aug_images_f/img40.png,Cardiomegaly
36,aug_images_f/img41.png,Cardiomegaly
37,aug_images_f/img42.png,Cardiomegaly
38,aug_images_f/img43.png,Cardiomegaly
39,aug_images_f/img45.png,Cardiomegaly
40,aug_images_f/img46.png,Cardiomegaly
41,aug_images_f/img47.png,Cardiomegaly
42,aug_images_f/img48.png,Cardiomegaly
43,aug_images_f/img51.png,Cardiomegaly
44,aug_images_f/img52.png,Cardiomegaly
45,aug_images_f/img53.png,Cardiomegaly
46,aug_images_f/img54.png,Cardiomegaly
47,aug_images_f/img55.png,Cardiomegaly
48,aug_images_f/img56.png,Cardiomegaly
49,aug_images_f/img57.png,Cardiomegaly
50,aug_images_f/img58.png,Cardiomegaly
51,aug_images_f/img59.png,Cardiomegaly
52,aug_images_f/img60.png,Cardiomegaly
53,aug_images_f/img61.png,Cardiomegaly
54,aug_images_f/img62.png,Cardiomegaly
55,aug_images_f/img63.png,Cardiomegaly
56,aug_images_f/img64.png,Cardiomegaly
57,aug_images_f/img65.png,Cardiomegaly
58,aug_images_f/img66.png,Cardiomegaly
59,aug_images_f/img67.png,Cardiomegaly
60,aug_images_f/img68.png,Cardiomegaly
61,aug_images_f/img69.png,Cardiomegaly
62,aug_images_f/img71.png,Cardiomegaly
63,aug_images_f/img72.png,Cardiomegaly
64,aug_images_f/img74.png,Cardiomegaly
65,aug_images_f/img75.png,Cardiomegaly
66,aug_images_f/img76.png,Cardiomegaly
67,aug_images_f/img79.png,Cardiomegaly
68,aug_images_f/img80.png,Cardiomegaly
69,aug_images_f/img81.png,Cardiomegaly
70,aug_images_f/img82.png,Cardiomegaly
71,aug_images_f/img83.png,Cardiomegaly
72,aug_images_f/img85.png,Cardiomegaly
73,aug_images_f/img86.png,Cardiomegaly
74,aug_images_f/img87.png,Cardiomegaly
75,aug_images_f/img88.png,Cardiomegaly
76,aug_images_f/img90.png,Cardiomegaly
77,aug_images_f/img91.png,Cardiomegaly
78,aug_images_f/img92.png,Cardiomegaly
79,aug_images_f/img93.png,Cardiomegaly
80,aug_images_f/img94.png,Cardiomegaly
81,aug_images_f/img95.png,Cardiomegaly
82,aug_images_f/img96.png,Cardiomegaly
83,aug_images_f/img97.png,Cardiomegaly
84,aug_images_f/img98.png,Cardiomegaly
85,aug_images_f/img99.png,Cardiomegaly
86,aug_images_f/img100.png,Cardiomegaly
87,aug_images_f/img101.png,Cardiomegaly
88,aug_images_f/img102.png,Cardiomegaly
89,aug_images_f/img103.png,Cardiomegaly
90,aug_images_f/img104.png,Cardiomegaly
91,aug_images_f/img105.png,Cardiomegaly
92,aug_images_f/img106.png,Cardiomegaly
93,aug_images_f/img107.png,Cardiomegaly
94,aug_images_f/img108.png,Cardiomegaly
95,aug_images_f/img109.png,Cardiomegaly
96,aug_images_f/img110.png,Cardiomegaly
97,aug_images_f/img111.png,Cardiomegaly
98,aug_images_f/img112.png,Cardiomegaly
99,aug_images_f/img113.png,Cardiomegaly
100,aug_images_f/img114.png,Cardiomegaly
101,aug_images_f/img115.png,Cardiomegaly
102,aug_images_f/img116.png,Cardiomegaly
103,aug_images_f/img118.png,Cardiomegaly
104,aug_images_f/img119.png,Cardiomegaly
105,aug_images_f/img120.png,Cardiomegaly
106,aug_images_f/img121.png,Cardiomegaly
107,aug_images_f/img122.png,Cardiomegaly
108,aug_images_f/img124.png,Cardiomegaly
109,aug_images_f/img125.png,Cardiomegaly
110,aug_images_f/img127.png,Cardiomegaly
111,aug_images_f/img128.png,Cardiomegaly
112,aug_images_f/img129.png,Cardiomegaly
113,aug_images_f/img130.png,Cardiomegaly
114,aug_images_f/img132.png,Cardiomegaly
115,aug_images_f/img134.png,Cardiomegaly
116,aug_images_f/img135.png,Cardiomegaly
117,aug_images_f/img136.png,Cardiomegaly
118,aug_images_f/img137.png,Cardiomegaly
119,aug_images_f/img138.png,Cardiomegaly
120,aug_images_f/img139.png,Cardiomegaly
121,aug_images_f/img140.png,Cardiomegaly
122,aug_images_f/img141.png,Cardiomegaly
123,aug_images_f/img142.png,Cardiomegaly
124,aug_images_f/img143.png,Cardiomegaly
125,aug_images_f/img144.png,Cardiomegaly
126,aug_images_f/img145.png,Cardiomegaly
127,aug_images_f/img146.png,Cardiomegaly
128,aug_images_f/img147.png,Cardiomegaly
129,aug_images_f/img148.png,Cardiomegaly
130,aug_images_f/img150.png,Cardiomegaly
131,aug_images_f/img152.png,Cardiomegaly
132,aug_images_f/img153.png,Cardiomegaly
133,aug_images_f/img154.png,Cardiomegaly
134,aug_images_f/img155.png,Cardiomegaly
135,aug_images_f/img156.png,Cardiomegaly
136,aug_images_f/img157.png,Cardiomegaly
137,aug_images_f/img158.png,Cardiomegaly
138,aug_images_f/img159.png,Cardiomegaly
139,aug_images_f/img160.png,Cardiomegaly
140,aug_images_f/img161.png,Cardiomegaly
141,aug_images_f/img162.png,Cardiomegaly
142,aug_images_f/img163.png,Cardiomegaly
143,aug_images_f/img164.png,Cardiomegaly
